image_name,caption,raw_caption,recaption_model
000129.png,"- Overall figure: Demonstrates light propagation and extraction from biopolymer planar waveguides in tissue, with experiments, simulations, a schematic, and loss measurements. Panels a–g.

- Panel a (microscopy images in tissue):
  - Left: “W/o waveguide” (without waveguide). A green laser applied at the surface produces a bright, localized spot with limited depth spread.
  - Right: “With waveguide.” A green laser coupled into an implanted waveguide produces a bright, elongated emission along the depth where the waveguide lies; a white dotted bracket outlines the emitting region.
  - Green arrows mark the laser input in both images.
  - Scale bar: 1 cm (vertical).

- Panel b (intensity vs depth, experimental):
  - Axes: Intensity (nor.) on a logarithmic scale (ticks at 0.1 and 1); Depth (mm) from 0 to 25 mm.
  - Curves:
    - Green: “With waveguide” — slower decay with depth and visible oscillations/structure along the profile up to ~25 mm.
    - Red: “w/o” — faster decay with depth, dropping by roughly an order of magnitude within the first several millimeters.

- Panel c (2D ray simulation images):
  - Left: “Tissue” without waveguide shows confined surface scattering.
  - Right: “Waveguide” shows extended emission along the waveguide length.
  - Green arrows indicate input.
  - Color bar (left): intensity scale from 0 (black) to 1 (green).

- Panel d (intensity vs depth, simulation):
  - Axes: Intensity (nor.) on a logarithmic scale (ticks at 0.01, 0.1, 1); Depth (mm) from 0 to 25 mm.
  - Curves:
    - Green: “With waveguide” — gradual decay with depth.
    - Red: “w/o” — rapid decay in the first few millimeters.

- Panel e (schematic):
  - Rectangular planar waveguide with downward-propagating input power Pin.
  - Side-emitted power per unit length labeled Pout(z), indicated by outward arrows along the sides.
  - Dashed outline suggests the distributed extraction along the guide.

- Panel f (propagation loss vs waveguide width; thickness noted):
  - Title/annotation: “Waveguide thickness: 240 μm.”
  - Axes: Loss (dB mm^-1) vs Waveguide width (mm), width range ~0.6 to ~1.4 mm.
  - Three datasets with linear trend lines:
    - Oil (green triangles; higher loss; decreasing with width).
    - Water (red circles; intermediate loss; decreasing with width).
    - Air (gray squares; lowest loss; decreasing with width).
  - Visible trend: In all media, loss decreases approximately linearly as width increases; ordering of loss at a given width is Oil > Water > Air.

- Panel g (tuning extraction via sidewall patterns):
  - Three waveguides labeled (i), (ii), (iii), each illuminated from the top (green arrows).
  - Each shows a different axial scattering/extraction pattern, indicating control of attenuation profile by surface structure.
  - White rectangles mark regions shown in 2× magnified insets (labeled “2x” on the first column); insets reveal distinct sidewall patterning and corresponding scattering differences.
  - Scale bar: 1 mm (vertical).","Figure 2: Propagation of light in biopolymer-based planar waveguides. (a) Microscopic image of the light in bovine tissue (thickness ∼2 mm) taken before (left panel) and after (right panel) insertion of the waveguide. Left panel: an external light source of a green laser is directly applied to the surface of the tissue. Right panel: a green laser is coupled to a waveguide implanted into the tissue. Scale bar, 10 mm. (b) Profile of the light decay in the tissue with (green line) and without (w/o; red line) the waveguide. (c) Two-dimensional ray simulations of light propagation using the same geometry as for experimental measurement in a. (d) Profile of the simulated light decay. (e) Schematic representation of the light extraction from a planar waveguide. Pout(z) corresponds to the light extraction profile from the waveguide, and Pin(z) corresponds to input per unit length. (f) Measured propagation loss of the waveguides in air, water and oil for increasing waveguide widths and at a constant height of 240 μm. (N=1 for each medium; R2 is 0.979, 0.938 and 0.906 in oil, water and air, respectively. (g) Waveguides with different surface patterns enable tuning the light extraction profile; here, in air. Light is coupled to the waveguide by focusing a laser to the top end of the waveguide. Scale bar, 1 mm. nor., normalized.",gpt-5
000130.png,"a: A transparent, flexible poly(L-lactic acid) biopolymer film is held between gloved fingers, demonstrating its pliability. Inset: a close-up of the biopolymer in its initial white, granular powder form before film fabrication.  
b: A long, transparent biopolymer film is twisted into a helical shape, held between gloved fingers, illustrating its mechanical flexibility. Scale bar: 10 mm.  
c: A close-up of a laser-cut biopolymer film showing a regular grid pattern of rectangular openings, demonstrating precise mesh fabrication. Scale bar: 10 mm.  
d: A rectangular biopolymer waveguide device with a fiber pigtail at the top. Left panel: device in off state, showing five parallel, vertically oriented waveguides. Right panel: device illuminated with blue light coupled through the fiber, showing uniform light distribution along the waveguides. Scale bar: 10 mm.  
e: A similar rectangular waveguide device illuminated with red light, showing light propagation along multiple waveguides extending downward. Scale bar: 10 mm.  
f: A flexible, branched polyethylene glycol hydrogel waveguide array emitting green laser light, demonstrating multi-directional light delivery. Scale bar: 10 mm.  
All scale bars are 10 mm. The top structure including the pigtail fiber is intended to be removed after use, with only the lower waveguide portion embedded in tissue.","Figure 1: Various biopolymer films and planar waveguide demonstrations. (a) Transparent and flexible poly(L-lactic acid) biopolymer film obtained by melt-pressing technique. Inset: biopolymers in their initial powder form before film formation. (b) A twisted bio-film before laser cutting. (c) Laser cutting allows for a simple fabrication of films with well-controlled meshes. (d) A fibre-coupled waveguide array with an unstructured top region uniformly coupling the light to the array of thin waveguides. Left, off state; right, light on. Only the lower part of the devices is to be embedded into tissue, the top structure including the pigtail fibre is cut off and removed after use. (e) Red light coupled to a waveguide array. (f) A polyethylene glycol hydrogel waveguide array carrying green laser light. Scale bars, 10 mm.",Qwen/Qwen3-VL-235B-A22B-Instruct
000131.png,"Figure composed of panels a–e.

a) Five-column array of photographs showing H-shaped polymer waveguide samples on a dark background. Column headers: ""PVP"", ""Silk"", ""PLGA 50:50"", ""PLGA 75:25"", ""PLLA"". Three time-labeled images per column:
- PVP: 0 min (intact H), 4 min (partially dissolved/deforming), 10 min (fragmented/dissolved).
- Silk: 0 min (intact H), 1 min (beginning deformation), 5 h (swollen, opaque/distorted H).
- PLGA 50:50: 0 min (intact transparent H), 4 h (slight change), 24 h (H shape largely retained).
- PLGA 75:25: 0 min, 4 h, 24 h (H shape visually retained across times).
- PLLA: 0 min, 4 h, 24 h (H shape visually retained).
Each subimage includes a white scale bar along the bottom (scale bars shown).

b) Three color photographs of a subcutaneous implantation site labeled ""Day 6"", ""Day 17"", ""Day 35"" (top to bottom). Day 6 image shows the implant region with multiple white arrows pointing to the implant area and surrounding tissue; Day 17 shows a whitish mass at the site; Day 35 shows no visible implant and visible surface vasculature. A black scale bar is present on each image.

c) Single histology micrograph showing a cross-section of skin/tissue with layered structure: an undulating/serrated upper layer above denser, orange-red stained tissue. No axis or scale ticks are shown on the micrograph.

d) Scatter plot of molecular weight versus time in vivo. Y-axis labeled ""Molecular weight (kDa)""; x-axis labeled ""Time in vivo (day)"" with tick range shown from 0 to ~40 days. Four red square data points with a fitted dashed/exponential decay curve:
- at 0 days: approximately 75–80 kDa,
- at ~6 days: approximately 40–50 kDa,
- at ~17 days: approximately 20–30 kDa,
- at ~35 days: approximately 0–5 kDa.
The dashed fit shows a rapid exponential decline in molecular weight over time.

e) Five color photographs of an in vivo PVP waveguide dissolution series on tissue labeled ""0 min"", ""2 min"", ""4 min"", ""8 min"", ""45 min"". Images show the implant becoming progressively less distinct and more dissolved over the 45-minute sequence. White scale bars are present on each image.","Figure 3: Biodegradation of biopolymer-based waveguides. (a) Short-term behaviour of bio-polymer films are shown by immersing H-shaped waveguide samples into PBS. PVP dissolves within minutes. Silk deforms within minutes and shows considerable swelling after a few hours. PLGA and PLA largely retain their physical structure for more than 24 h. Scale bars, 5 mm. (b) Time-dependent in vivo degradation of 1 × 5 mm PLGA 50:50 polymer subcutaneously inserted into a mouse after 6, 17 and 35 days. No inflammation around the waveguide is observed. Scale bar, 1 mm. (c) Histology image of skin tissue in the region where the polymer was implanted. (d) Average molecular weight of polymer chains in implanted bio-film as a function of degradation time (N=1). Line, fit to exponential decay (R2=0.93). (e) Dissolution of PVP waveguide in vivo.",gpt-5-mini
000132.png,"a: A hybrid biopolymer-based waveguide bundle is shown, featuring a rectangular head with three parallel, tapered prongs extending downward. The scale bar indicates 10 mm.

b: A waveguide bundle is inserted into a full-thickness incision in porcine skin. Two arrows indicate the insertion points. The skin surface shows a faint pink stain from Rose Bengal dye. On the right, the same setup is illuminated by a green laser beam entering through a fiber, producing visible green fluorescence around the waveguide within the tissue.

c: A time-lapse sequence demonstrating photoactivation of Rose Bengal dye in porcine skin using the waveguide bundle under 1 W illumination. The leftmost panel shows green laser light coupling into the waveguide and illuminating the tissue. Subsequent panels show cross-sections of the tissue at 0 min, 10 min, and 30 min of illumination. At 0 min, the dye appears uniformly pink. At 10 min, partial bleaching is visible near the waveguide. At 30 min, extensive bleaching is observed throughout the depth of the tissue surrounding the waveguide. Scale bar: 10 mm.

d: Comparison of surface illumination without a waveguide. Two images show a cross-section of porcine skin stained with Rose Bengal dye at 0 min and 30 min of direct surface illumination. At 0 min, the dye is uniformly pink. At 30 min, only the superficial layer near the surface shows bleaching (appearing lighter pink), while deeper tissue remains stained. Arrows indicate the tissue surface. Scale bar: 10 mm.

e: A semi-logarithmic plot of dye fluorescence (arbitrary units, a.u.) versus time (min) under 1 W input power (P_in(0)=1 W). Two curves are shown: “W/o waveguide” (without waveguide, green dots with dashed line) and “With waveguide” (with waveguide, magenta dots with dashed line). Fluorescence decreases exponentially over time for both conditions. At 30 min, fluorescence with the waveguide drops to approximately 3 a.u., while without the waveguide it remains near 90 a.u. Error bars represent standard deviation across the measured area.","Figure 4: Light delivery to deep tissue. (a) Hybrid biopolymer-based waveguide bundle engineered for optimal light delivery to the tissue. (b) Waveguide inserted in porcine skin incision previously stained with Rose Bengal dye (left) and illuminated through a fibre by a green laser (right). (c) Cross-section of the photoactivated area of dyed porcine skin after different times of illumination using a biopolymer-based waveguide bundle. The presence of photobleaching down the entire depth of the tissue interface after 30 min of illumination indicates efficient light delivery throughout the entire depth of the sample. (d) Identical porcine skin sample treated with surface illumination (that is, without (w/o) using a waveguide). Note that even after 30 min of continuous illumination, only the dye close to the top surface has bleached. (e) The amount of remaining intact dye measured by red fluorescence (averaged over whole area of the waveguide, N=1) decreases exponentially with time. The error bars represent s.d. across the area. Scale bars, 10 mm in a,c and d.",Qwen/Qwen3-VL-235B-A22B-Instruct
000133.png,"(a) Schematic side view of the measurement geometry. A circular YIG|Pt microdisc sits beneath a straight microwave antenna. The bias magnetic field H (red arrow) is applied in-plane, perpendicular to the Pt electrode. The antenna produces an excitation microwave field h_rf (orange) perpendicular to H. The dynamic magnetization M(t) of the YIG is indicated (cyan). Electrical contacts on the Pt layer feed a d.c. voltage Vx (green circuit) measured across the electrode. Coordinate axes x̂, ŷ, ẑ are shown at the sample.

(b) Inverse spin-Hall effect (ISHE) detected ferromagnetic resonance spectra at Idc = 0 mA. Vertical axis: V_ISHE (nV), range −60 to +60 nV. Horizontal axis: Magnetic field (kOe), range −0.9 to +0.9 kOe. Two antisymmetric resonance traces reversing sign with field: blue trace labeled “2 μm, 4 GHz” and red trace labeled “4 μm, 1 GHz.” Peak-to-peak signal amplitudes reach on the order of ±60 nV.

(c) Dispersion relation of the main FMR mode. Vertical axis: Frequency (GHz), 0–20 GHz. Horizontal axis: Magnetic field (kOe), 0–6 kOe. Data points: red squares (4 μm) and blue circles (2 μm). A continuous fit line (Kittel law) runs through the points. Text on panel: “γ = 1.77 × 10^7 rad s^−1·Oe^−1” and “4πM_s = 2,150 G.”

(d) Frequency dependence of the FMR full linewidth ΔH. Vertical axis: ΔH (Oe), 0–30 Oe. Horizontal axis: Frequency (GHz), 0–20 GHz. Measured points: red squares for the 4 μm disc and blue circles for the 2 μm disc, each with vertical error bars (mean-squared error of Lorentzian fits). Continuous linear fits are shown for each dataset. Annotated fit parameters (colored text on the panel): red — “α = 0.0021, ΔH0 = 1.3 Oe”; blue — “α = 0.0020, ΔH0 = 0.7 Oe.” A dashed black line labeled as the homogeneous contribution of the bare YIG is plotted with black triangular markers (standard FMR on the extended YIG film).","Figure 2: ISHE-detected FMR spectroscopy in YIG|Pt microdiscs. (a) Sketch of the sample and measurement configuration. The bias field H is oriented perpendicularly to the Pt electrode and to the excitation field hrf produced by the antenna at fixed microwave frequency. The d.c. voltage Vx across Pt is monitored as a function of the magnetic field. (b) ISHE-detected FMR spectra of the 4- and 2-μm YIG(20 nm)|Pt(8 nm) discs at 1 and 4 GHz, respectively. (c) Dispersion relation of the main FMR mode of the microdiscs. The continuous line is a fit to the Kittel law. (d) Frequency dependence of the FMR linewidth in the two microdiscs. The continuous lines are linear fits to the data. The dashed line shows the homogeneous contribution of the bare YIG (the black triangles are the homogeneous contribution to the linewidth measured by standard FMR on the extended YIG film). The vertical bars show the mean squared error of the lorentzian fits.",gpt-5-mini
000134.png,"Figure composed of five panels (a–e).

Panel a (left): Colored schematic of the measurement geometry. A circular microdisc labeled ""Pt"" sits under an enclosing microwave antenna loop. A green arrow labeled Idc indicates the d.c. current injected in the Pt layer through two contacts marked with a pink ""+"" (right contact) and blue ""−"" (left contact). A teal arrow labeled M(t) indicates the precessing magnetization of the disc; a red arrow/loop labeled H indicates the applied in-plane magnetic field oriented transverse to Idc. A pair of leads from the antenna go to a voltage node labeled Vy. A small 3‑axis coordinate icon shows x̂, ŷ, ẑ directions. Panel a (right): optical microscope image of the device (top view) showing the circular disc under the antenna traces; two contact pads (blue, left and right) and a central contact (pink) are visible. A short horizontal scale bar is shown (scale in caption: 50 μm).

Below panel a: a horizontal color legend labeled ""PSD (fW/MHz)"" with tick labels 0.00, 0.05, 0.10, 0.15 and a color gradient from dark blue (0.00) through green/yellow to red (0.15).

Panels b–e: four power spectral density (PSD) color maps (PSD in fW/MHz, color coded by the legend) plotted versus frequency (horizontal axis) and d.c. current (vertical axis). Common horizontal axis ticks/run from 2.5 to 3.2 GHz (labels at 2.5, 2.6, 2.7, 2.8, 2.9, 3.0, 3.1, 3.2 GHz).

Panel b (top-left): label in the plot area ""H < 0"" and ""Idc > 0"". Vertical axis labeled ""d.c. current (mA)"" with ticks from 10 to 22 mA. A distinct diagonal emission band (single ridge of enhanced PSD) is visible: it appears around ≈2.95 GHz at ≈13 mA and shifts continuously toward lower frequency as Idc increases, reaching ≈2.7–2.8 GHz near ≈20–22 mA. The ridge shows high PSD intensity (colors from green through yellow to red).

Panel c (bottom-left): label ""H < 0"" and ""Idc < 0"". Vertical axis labeled ""d.c. current (mA)"" with ticks from −10 to −22 mA. The PSD map is essentially flat/featureless (no clear emission ridge, low background PSD values in blue).

Panel d (top-right): label ""H > 0"" and ""Idc > 0"". Vertical axis labeled ""d.c. current (mA)"" with ticks from 10 to 22 mA. The PSD map is flat/featureless (blue background), no emission ridge visible.

Panel e (bottom-right): label ""H > 0"" and ""Idc < 0"". Vertical axis labeled ""d.c. current (mA)"" with ticks from −10 to −22 mA. A clear diagonal emission band (single ridge) is present, symmetric in sign to panel b: the band begins at roughly −13 mA near ≈2.95 GHz and shifts to lower frequencies as Idc becomes more negative, with strong PSD colors (green/yellow/red) similar to panel b. Some weak, lower-intensity background features extend at more negative currents, but the main coherent emission is the single diagonal ridge.

Overall visible quantitative items:
- Frequency range shown: 2.5–3.2 GHz.
- d.c. current ranges: +10 to +22 mA (panels b,d) and −10 to −22 mA (panels c,e).
- PSD colorbar scale: 0.00, 0.05, 0.10, 0.15 fW/MHz (blue → red).
- Emission ridges in panels b and e start near ≈2.95 GHz at |Idc| ≈ 13 mA and move to lower frequency as |Idc| increases toward ≈20–22 mA (visual ridge width on the order of a few tens of MHz).","Figure 1: Inductive detection of auto-oscillations in a YIG|Pt microdisc. (a) Sketch of the measurement configuration and microscopy image of a device with two microdiscs connected (underneath the circles). Scale bar, 50 μm. The bias field H is oriented transversely to the d.c. current Idc flowing in Pt. The inductive voltage Vy produced in the antenna by the precession of the YIG magnetization M(t) is amplified and monitored by a spectrum analyser. (b-e) PSD maps measured on a 4 μm YIG|Pt disc at fixed |H|=0.47 kOe and variable Idc. The four quadrants correspond to different possible polarities of H and Idc. An auto-oscillation signal is detected above a threshold current of ±13 mA if H·Idc<0, in agreement with the symmetry of spin-orbit torque.",gpt-5-mini
000135.png,"Figure layout and key visual elements:
- Panel a: Schematic of the device and measurement. A Pt disk (label “Pt”) on a substrate with a surrounding loop/antenna. A d.c. current Idc (green arrow) flows through Pt between + and − electrodes. The in-plane bias field H (red arrow) makes an angle φ with the current. The YIG magnetization M(t) (cyan) precesses. Two measurement paths are shown:
  - Vx (green path) from the Pt/lead.
  - Vy (orange path) from the antenna loop.
  A right-handed axis is drawn (x̂, ŷ, ẑ). Angle φ is indicated between H and the current direction.

Spectra (power spectral density, PSD, unit: fW/MHz) at different φ (panels b–d):
- Common axes: Frequency (GHz) from 2.6 to 3.1; PSD from 0 to 0.10 fW/MHz. Two traces in each panel: Vx (green) and Vy (orange).

- Panel b (φ = 90°, Idc = −15 mA):
  - Strong, narrow auto-oscillation peak only in Vy at ≈2.90 GHz reaching ~0.08 fW/MHz.
  - Vx stays near background level across the band.

- Panel c (φ = 60°, Idc = −16.5 mA):
  - Both Vx and Vy show a peak at ≈2.90 GHz.
  - Peak amplitudes are comparable and moderate (~0.04–0.06 fW/MHz).

- Panel d (φ = 40°, Idc = −19.5 mA):
  - Peak primarily in Vx at ≈2.85–2.90 GHz (~0.06 fW/MHz).
  - Vy is weak and close to background.

Angular dependence of normalized signals (panel e):
- Axes: φ (degrees) from 30 to 150; Norm. PSD (a.u.) from 0 to 1.0+.
- Symbols:
  - Vx (green upward triangles): maxima near φ ≈ 30° and 150°, minimum near 90°.
  - Vy (orange downward triangles): maximum near φ ≈ 90°, minima near 30° and 150°.
- Dashed guides follow complementary cos φ (for Vx) and sin φ (for Vy) trends.
- Approximate data readout (Norm. PSD):
  - φ ≈ 30°: Vx ~0.9, Vy ~0.1
  - 45–60°: Vx ~0.6–0.7, Vy ~0.4–0.6
  - 90°: Vx ~0.1, Vy ~1.0
  - 120°: Vx ~0.6, Vy ~0.4–0.5
  - 150°: Vx ~0.9, Vy ~0.1
  Error bars are shown on all points.

Threshold current versus angle (panel f):
- Axes: φ (degrees) from 30 to 150; Threshold current (mA) negative scale from about −12 to −24 mA.
- Data (red circles with error bars) and a dashed curve showing a 1/sin φ–like dependence.
- Approximate threshold values extracted from the plot:
  - φ ≈ 30°: ~−23 mA
  - 40°: ~−21 mA
  - 50°: ~−18 mA
  - 60°: ~−16.5 mA
  - 70°: ~−14.5 mA
  - 80°: ~−13.5 mA
  - 90° (minimum magnitude): ~−13 mA
  - 100°: ~−13.5 mA
  - 110°: ~−14.5 mA
  - 120°: ~−16.5 mA
  - 130°: ~−18 mA
  - 140°: ~−21 mA
  - 150°: ~−23 mA

Overall visual conclusions supported by the figure:
- The auto-oscillation peak frequency is ~2.9 GHz.
- Signal pickup swaps between Vy and Vx as φ moves from 90° toward 30°/150°, following sin φ (Vy) and cos φ (Vx) behavior.
- The magnitude of the threshold current increases markedly as φ departs from 90°, reaching ~−23 mA near 30° and 150°, and minimizing near 90° at ~−13 mA.","Figure 3: Auto-oscillations as a function of the angle between the d.c. current and the bias field. (a) Sketch of the sample and measurement configuration. The bias field H is oriented at an angle φ with the d.c. current Idc in the Pt. The precession of the YIG magnetization induces voltages Vx in the antenna and Vy across Pt, which are amplified and monitored by spectrum analysers. (b-d) Vx and Vy at H=0.47 kOe for three different angles φ in the 4-μm disc. (e) Dependence of the normalized signals in both circuits and (f), of the threshold current for auto-oscillations on φ. In e,f dashed lines show the expected angular dependences and error bars are estimated from the limited signal-to-background contrast of the inductive signals.",gpt-5
000136.png,"a) Left panel (label ""a""): a plot of the effective interaction vertex B^R_{(Q,0),Ω0} (units eV^-3) versus momentum Q/π. The y-axis ranges from 0 to 80 (tick marks every 10), the x-axis runs from about 0.45 to 1.00 (labeled Q/π). A vertical dashed black line is drawn at Q/π ≈ 0.60. Five colored curves show temperature dependence with an inset legend (top right) listing:
- blue: T = 50 K
- green: T = 60 K
- red: T = 70 K
- cyan: T = 80 K
- magenta: T = 90 K

All five curves rise from near zero at the left edge, peak near the dashed line (Q/π ≈ 0.60), then fall toward the right. Approximate peak amplitudes (read from the plot) are:
- T = 50 K (blue): peak ≈ 75–77 eV^-3 at Q/π ≈ 0.60
- T = 60 K (green): peak ≈ 40–42 eV^-3
- T = 70 K (red): peak ≈ 24–26 eV^-3
- T = 80 K (cyan): peak ≈ 11–14 eV^-3
- T = 90 K (magenta): peak ≈ 6–8 eV^-3

b) Right panel (label ""b""): a plot of phonon damping -Im Π^R_{(QGPA,0),Ω0} times (α/1 eV)^{-4} (vertical axis units shown as eV) versus temperature T (K). The x-axis spans 50–150 K (labeled T (K)); the y-axis spans 0–10 (tick marks 0,2,4,6,8,10). Two vertical dashed black lines are drawn at T = 50 K (left) and T = 150 K (right). A single blue curve starts at about 10 (near the left dashed line at 50 K) and decreases steeply with increasing T, leveling off at low values near 0.4–0.5 by T = 150 K. Representative values read from the curve: ~10 at 50 K, ~3–4 at ~60 K, ~1.5 at ~80 K, ~1.0 at ~100 K, and ~0.4–0.5 at 150 K.","Figure 3: GPA in the fluctuation region. (a) Temperature and momentum dependence of the effective interaction vertex B, with the dashed line marking QGPA. (b) The anomalous phonon damping. Parameters: Fermi velocity vF=500 meV, bare phonon frequency Ω0=10 meV, ratio between the Leggett mode frequency at q=0 and the superconducting gap , quasiparticle damping Γ(e)=0.5T+(0.3 meV-1)T2, and the long-range order temperature Tc=50 K. We used an energy cutoff of ±100 meV around the Fermi surface, which does not affect the qualitative feature of the results.",gpt-5-mini
000138.png,"Figure composed of seven panels (a–g) presenting spectral and quantitative measurements for 4 μm (red) and 2 μm (blue) YIG|Pt microdiscs.

a) Stacked power spectra (red traces) for the 4 μm disc as a function of d.c. current (vertical axis labeled ""d.c. current (mA)"" with ticks from approximately −12 to −20 mA). Horizontal axis labeled ""Frequency (GHz)"" spanning 3.2–3.7 GHz. A scale marker at top left reads ""4 μm"" and an amplitude scale ""0.1 fW/MHz"". A single peak near ~3.6 GHz emerges in the stack at a particular negative current and shifts slightly with current.

b) Stacked power spectra (blue traces) for the 2 μm disc versus d.c. current (vertical axis labeled ""d.c. current (mA)"" with ticks from approximately −6 to −10 mA). Horizontal axis 3.2–3.7 GHz. Top-left marker reads ""2 μm"" and amplitude scale ""0.03 fW/MHz"". A single peak near ~3.6 GHz appears at less negative currents than in (a) and shifts with increasing |Idc|.

c) Frequency f (GHz) versus d.c. current (mA). Red filled circles (4 μm) and blue open squares (2 μm). Axes: f from 3.0 to 3.8 GHz, d.c. current from −21 to −6 mA. The panel includes the label ""H = 0.65 kOe"". Both data sets show a monotonic decrease of onset frequency with more negative Idc; the blue (2 μm) series has a steeper slope (larger frequency shift per current) than the red (4 μm) series.

d) Linewidth Δf (MHz) versus d.c. current (mA). Vertical axis 0–90 MHz, horizontal axis −21 to −6 mA. Red filled circles (4 μm) and blue open squares (2 μm). Both series show linewidths of the order of a few tens of MHz that change with current; linewidth generally increases as Idc becomes more negative, reaching values up to ~80–90 MHz for some points.

e) Integrated power versus d.c. current (mA). Vertical axis labeled ""Power"" with numeric range 0–3 (units consistent with the small fW-scale in (a,b)); red filled circles (4 μm) display a pronounced peak in integrated power at intermediate negative Idc and then a decrease at larger |Idc|. Blue open squares (2 μm) show a smaller integrated-power peak at less negative currents.

f) Onset frequency (GHz) versus applied magnetic field (kOe). Horizontal axis 0–2.5 kOe, vertical axis 0–10 GHz. Red filled circles (4 μm) and blue open squares (2 μm) lie essentially on top of a plotted black curve labeled ""Kittel law"". Both data sets track the Kittel dispersion over the field range shown; red points extend to higher frequencies at larger fields up to ~9–10 GHz.

g) Threshold current (mA) versus magnetic field (kOe). Horizontal axis 0–2.5 kOe, vertical axis approximately 0 to −24 mA (negative downward). Red filled circles (4 μm) and blue open squares (2 μm) are plotted as experimental data. Two calculation curves are shown for each size: dashed lines labeled ""Calc. w/o ΔH0"" (red and blue dashed) and solid lines labeled ""Calc. with ΔH0"" (red and blue solid). The data show a pronounced minimum (optimum) in threshold current for the 4 μm disc at small nonzero field (~0.3–0.5 kOe) and a generally smaller, less field-dependent threshold for the 2 μm disc. The panel includes the annotation ""φ = 90°"" at the top right.

Legend and plotting conventions: red filled circles correspond to the 4 μm disc, blue open squares to the 2 μm disc; continuous and dashed colored curves in (g) denote calculated threshold dependences with and without the inhomogeneous linewidth contribution ΔH0; black curve in (f) denotes the Kittel law. Error bars are visible on some points in (g).","Figure 4: Quantitative analysis of auto-oscillations in YIG|Pt microdiscs. (a) Inductive voltage Vy produced by auto-oscillations in the 4-μm and (b) 2-μm YIG|Pt discs as a function of the d.c. current Idc in the Pt. The experimental configuration is the same as in Fig. 1a, with the bias field fixed to H=0.65 kOe. (c) Auto-oscillation frequency f, (d) linewidth Δf and (e) integrated power versus Idc. (f) Dependence of the onset frequency and (g) of the threshold current on the applied field in both discs. Expectations taking into account only the homogeneous linewidth or the total linewidth are respectively shown by dashed and continuous lines. Error bars are estimated from the limited signal-to-background contrast of the inductive voltage.",gpt-5-mini
000139.png,"a: This panel displays a square Brillouin zone with diagonals dividing it into four quadrants. Two distinct sub-bands, labeled 'a' (cyan) and 'b' (green), are shown as curved pockets located in opposite quadrants. Each pocket is marked with a black dot indicating a superconducting node. The pockets are labeled with '+' or '−' signs, denoting the sign of the d-wave symmetry factor γp in those regions. A blue double-headed arrow labeled 'Q_GPA' connects the two sub-bands across the zone center Γ. Two black arrows originate from Γ, pointing to (1,1) and (1,1̄) directions, indicating the orientation of the sub-bands.

b: This panel presents a magnified view of a single Fermi arc. The arc, shown in cyan with a red boundary, is labeled 'Hole pocket' and terminates at a diagonal line labeled 'Umklapp surface'. A blue arrow labeled 'v_F' indicates the Fermi velocity direction along the arc. A dashed cyan line labeled 'R' extends from a point labeled 'Y' to the tip of the arc, indicating the radius of the circular arc. The point 'Y' is positioned outside the Brillouin zone. The region near the arc is marked with '+' and '−' signs, consistent with d-wave symmetry. The arc is depicted as a segment of a circle centered at Y.","Figure 1: Representation of the band structure by Fermi arcs. (a) The breakup of Fermi surface to 2 sub-bands a and b in (1, 1) and directions. QGPA is a wavevector connecting the two sub-bands, which is also the wavevector of the phonon anomaly. (b) Simplified model of Fermi arcs. Each Fermi arc is represented by a circular arc (shown red) with center Y, radius R, and terminates at the Umklapp surface. The Fermi velocity vF (blue arrow) is assumed to a have constant magnitude on the whole arc. Y is uniquely determined by the choices of the wavevector between arc tips to be 0.51π, and the hole concentration p=11.5%. These are typical values in ARPES experiments. ± are the signs of the d-wave symmetry factor γp at different regions in the Brillouin zone. Black dots on the arcs indicate positions of superconducting nodes.",Qwen/Qwen3-VL-235B-A22B-Instruct
